,address,advantage,city,company_name,education,industry,industrylabels,label,position_detail,position_name,salary,size,stage,work_year
0,"['西直门', '动物园', '官园']","团队强悍,待遇丰厚,数据规模,场景明确",北京,北京沃丰时代数据科技有限公司,硕士,"移动互联网,企业服务","['企业服务', '搜索', 'NLP', '算法']","['AI', '大数据', '云服务', '大牛带队']","
职位描述：

职位描述：
+ 企业服务领域智能化场景的业务分析、数据建模和数据优化。


任职要求：
+ 1年以上相关工作经验，有落地的产品；
+ 优秀的业务理解、目标制定、沟通能力；
+ 精通机器学习算法，丰富的数据分析、挖掘、建模经验，有NLP经验更佳；
+ 有TensorFlow/PaddlePaddle等深度学习工具经验；
+ 良好的开发能力（SQL/Java/Python/R/Scala等），了解大数据开发平台（Hadoop/Hive/Spark/Storm)。




公司介绍寻找有梦想，爱学习的实力派！Udesk是国内领先的智能服务平台，拥有数万家云上企业用户，云平台日访问量数亿次，通过整合整合ABC（AI、Big Data、Cloud Computing）为企业提供了一套集智能问答机器人、即时通讯、VoIP、工单、知识库、数据分析为一体的全场景的智能客服系统解决方案。Udesk知名客户有光大银行、海底捞、星巴克、故宫博物院、皇家加勒比游轮、凯撒旅游、中青旅耀悦、WPS、印象笔记、巧虎、养乐多等。覆盖了股份银行、餐饮、本地生活、旅游、O2O、企业服务等行业。Udesk于2018年9月完成C轮3亿人民币融资，投资方为老虎环球基金、君联资本、DCM。公司收入增长迅速，现金流充足，不烧钱、不依赖融资。产品介绍??? Ubot-智能问答机器人―多轮交互，自主学习，知识图谱
??? Udesk智能客服平台―智能化，数据驱动，云服务，企业级
??? Insight客服大数据―数据驱动，实时监控，大屏显示
??? Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。

",机器学习,15k-30k,150-500人,C轮,1-3年
1,['仓前'],六险一金，境外游，团建，生日会等,杭州,杭州亦闲信息科技有限公司,本科,教育,"['教育', '移动互联网', '算法']","['带薪年假', '午餐补助', '年底双薪', '年度旅游']","
职位描述：

岗位职责：?? 1、探索业界前沿的机器学习技术、设计并实现搭建机器学习平台；?? 2、负责提供分布式的算法实现的解决方案，并将其应用到业务场景中；岗位要求：?? 1，JAVA基础扎实：熟练掌握数据结构、多线程编程、常用的设计模式等；?? 2、熟悉分布式系统的基础理论知识，了解相关技术，如MapReduce/HDFS/MPI/kubernetes；?? 3、熟悉Hadoop/Spark等大数据分布式平台，具有一定的Scala/Python语言开发能力；?? 4、了解常见机器学习算法和应用解决方案，具有良好的数据分析能力；?? 5、对业界新技术敏感，具有团队合作精神、富有责任心、有技术热情和自驱力，善于沟通和协作。加分项： ?? 1、具有大规模分布式架构设计经验，搜索引擎，广告，推荐系统经验； ?? 3、熟悉教育行业项目；?? 4、熟悉机器学习框架，如Tensorflow、Petuum、MXNet、PaddlePaddle、Caffe5、熟悉机器学习建模流程，有相关经验优先

",机器学习,20k-40k,50-150人,不需要融资,1-3年
2,['麓谷'],"扁平化管理,周末双休,五险一金,交通补助",长沙,湖南星汉数智科技有限公司,硕士,"移动互联网,数据服务",[],"['年底双薪', '带薪年假', '绩效奖金', '交通补助']","
职位描述：

工作职责：
1，研究机器学习或深度学习领域的前沿技术,并用于实际问题的解决和优化
2，负责自然语言处理或计算机视觉核心技术的研发工作
3，工作包括但不限于：文本分词，命名实体识别，知识抽取，认知学习，医学图像处理，图像分类，人脸检测识别等

职责要求：
1，创造性思维，富有想象力，有推进人工智能的理想和使命感
2，掌握机器学习基本算法，并在自然语言处理或计算机视觉方向有较深入研究
3，熟练掌握一门编程语言C/C++/Java/Python
4,具有良好的沟通能力和良好的团队合作精神

",机器学习,10k-15k,50-150人,未融资,不限
3,"['中关村', '知春路', '苏州街']","大牛,人性化管理,靠谱团队,技术氛围好",北京,北京深睿博联科技有限责任公司,硕士,"移动互联网,医疗健康","['医疗健康', '深度学习', '计算机视觉', '算法']","['股票期权', '年底双薪', '定期体检', '弹性工作']","
职位描述：

研究深度学习（包括各种神经网络结构与应用）或计算机视觉各个领域（目标检测识别等）中核心算法

将上述核心算法和模型应用到医疗领域的现实场景中，并针对应用场景进行优化和定制等

将算法高效地实现到多种不同平台和框架上，并基于对平台和框架的内部机制的理解，持续对算法和模型实现进行优化

支持公司在医疗领域相关应用产品的研究、开发、文档撰写工作；

岗位要求：

机器学习/模式识别及其他相关领域硕士及以上学历，在深度学习领域有较深的理论或实验室研究经验

良好的算法基础，扎实的编程功底，有较大型项目的开发经验

能够熟练使用OpenCV，精通C/C++，Python,golang等，熟悉Linux开发环境

善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神，有创造性思维，有推进人工智能的理想和使命感。

有以下经验者优先：

具有常用的CNN/RNN模型之外深度学习相关经验，熟悉常用的深度学习软件（如caffe，pytorch等）

在相关方向知名国际会议发表过论文（如CVPR，ICCV，ECCV，NIPS，ICLR，TPAMI等）

参加过国际国内算法类竞赛，并取得一定名次者

",深度/机器学习,25k-50k,150-500人,B轮,不限
4,"['望京', '来广营']","飞速发展,大牛导师,七险一金",北京,北京数美时代科技有限公司,本科,"企业服务,数据服务",[],"['年底双薪', '大数据', '带薪年假', '通讯津贴']","
职位描述：

工作职责:
-研究数据挖掘或统计学习领域的前沿技术,并用于实际问题的解决和优化
-大规模机器学习算法研究及并行化实现,为各种大规模机器学习应用研发核心技术
-通过对数据的敏锐洞察,深入挖掘产品潜在价值和需求,进而提供更有价值的产品和服务,通过技术创新推动产品成长
职责要求:
-具有以下一个或多个领域的理论背景和实践经验：机器学习/数据挖掘/深度学习/信息检索/自然语言处理/机制设计/博弈论
-至少精通一门编程语言，熟悉网络编程、多线程、分布式编程技术，对数据结构和算法设计有较为深刻的理解
-良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题
-较强的沟通能力和逻辑表达能力，具备良好的团队合作精神和主动沟通意识
具有以下条件者优先：
-熟悉文本分类、聚类、机器翻译，有相关项目经验
-熟悉海量数据处理、最优化算法、分布式计算或高性能并行计算，有相关项目经验

【关于数美】www.ishumei.com
【关于数美】数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案

…………………………………………………………………………
了解更多
数美公司介绍
https://www.ishumei.com/aboutUs/introduction.html
数美团队介绍
https://www.ishumei.com/aboutUs/team.html
数美产品介绍
https://www.ishumei.com/product/creditFengkong.html
数美解决方案介绍
https://www.ishumei.com/solution/finance.html 

",机器学习/数据挖掘,18k-30k,150-500人,B轮,应届毕业生
5,,"五险一金,免费午餐,期权股权,住房补贴",武汉,武汉心络科技有限公司,硕士,医疗健康 数据服务,[],"['股票期权', '专项奖金', '交通补助', '通讯津贴']","
职位描述：

职位描述：

负责医疗影像数据分析，开发让医疗更智能的计算机视觉算法和产品


职位要求：
1. 本科以上学历，2年以上工作经历，熟悉分布式系统开发，理解大数据常用组件原理；
2. 扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的计算机视觉处理任务；从事过图像类识别、检测等相关项目。
3. 熟悉深度学习原理和基本模型，熟练使用Caffee、Theano、Tensorflow或其他常用深度学习工具，并能够灵活的解决实际问题。
4. 扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用；
5. 熟悉高性能运算加速工具如Neon以及GPGPU技术如GLES、CUDA和OpenCL等。

【福利待遇】
1.?? 入职五险一金，住房、交通等各类补贴，免费午餐加班餐。
2.?? 弹性工作时间，双休法定节假日；
3.?? 入职体检，定期组织员工活动、聚餐等；
4.?? 培养人才不含糊，我们重视每一位小伙伴的职业发展规划；
5.?? 薪资待遇不含糊，看学历更看能力；
6.?? 重视关键人才不含糊，股份/期权等着你；

",机器学习/计算机视觉,15k-30k,50-150人,未融资,3-5年
6,,"六险一金,高效团队,薪资福利优,周末双休",杭州,浙江邦盛科技有限公司,本科,"信息安全,金融",[],"['带薪年假', '午餐补助', '绩效奖金', '领导好']","
职位描述：

岗位职责：
1.根据公司定位与战略，对机器学习产品进行规划与设计，产出有竞争力的平台产品，并赋能行业解决方案；
2.负责产品全生命周期，关注产品交付、运营与市场反馈情况；
3.深入理解领域知识，创造产品价值，把握产品发展方向；
4.关注市场和竞品动向，不断优化和提升产品，保证产品竞争力。

任职要求：
1.熟练掌握机器学习领域相关知识，熟悉建模方法；
2.3年以上产品工作经验，1年以上机器学习相关工作经验；
3.热爱产品工作，具有owner意识；
4.优秀的逻辑分析能力、沟通能力、学习能力和自驱能力。

",产品经理-机器学习方向,10k-15k,150-500人,B轮,1-3年
7,,五险一金、加班补助、团建经费、年底双薪,上海,上海砸立电子商务有限公司,本科,"移动互联网,电子商务",['电商'],"['年度旅游', '美女多', '扁平管理', '技能培训']","
职位描述：

【岗位职责】：1.利用机器学习技术，从事电商行业推荐系统研发；2.负责推荐系统的排序、分类等模型算法的离线训练、在线算法设计工作3. 负责各类推荐算法的有效性测试、上线部署、迭代优化、以及上线后算法效果跟踪、更新维护工作4.深入理解业务以及机器学习、数据挖掘技术，持续提升推荐效果【职位要求】：1.3年以上个性化推荐算法相关经验，有大型电商推荐算法开发工作经验者优先；2.具备比较优秀的编码能力，能熟掌握 JAVA、Python 、SQL等 语言，熟悉HIVESQL\Hadoop\Spark等大数据开发环境者优先；3.掌握常规数据处理、数据清洗等技能，熟悉机器学习、自然语言处理、深度学习、统计学中一项或多项；4.对电商或者广告推荐系统、CTR预估相关技术有经验者优先；5.优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。

",机器学习及算法工程师,25k-50k,50-150人,B轮,3-5年
8,['火炬路'],"弹性工作制,绩效奖金,加班补助,股票期权",大连,上海连世数字技术有限公司大连分公司,硕士,"移动互联网,游戏",[],"['年底双薪', '带薪年假', '午餐补助', '定期体检']","
职位描述：

岗位职责：
1、利用机器学习从海量异构数据中进行有价值信息的挖掘和整合；
2、将算法应用到海量数据处理、中，解决项目的机器学习问题，比如用户行为预测、图像识别、文本情感分析等。
?
岗位要求：
1 数学，统计学，计算机专业硕士以上学历，2年以上研究或工作经验；
2 具有机器学习，数据挖掘经验，熟练运用相关分析工具；
3 掌握常见的分类，聚类，推荐算法，如Decision Tree，Naive Bayes，SVM，LR，K-means等；
4 掌握主流的深度学习框架技术，如Caffe，Tensorflow，Keras等，对系统实现有深入了解；
5 了解CNN，RNN，DBN，Backpropagation，Gradient Descent等网络结构和算法；
6 具备数据工程和处理大数据的能力，熟悉Hadoop、Spark等流行开源框架。

",机器学习/深度学习,15k-25k,150-500人,上市公司,3-5年
9,"['和平公园', '四平路', '临平路']","行业先锋,智能语音,数据驱动",上海,上海脉豪商务信息咨询有限公司,硕士,"移动互联网,企业服务","['大数据', 'Java', '数据挖掘']","['股票期权', '带薪年假', '定期体检', '弹性工作']","
职位描述：

我们的人工智能项目（已上线）方向：
语音质检&电销机器人
加入我们你将获得：
海量的语音语料，成熟的应用场景，广阔的成长空间，最前沿的技术攻坚

我们需要您：
1、应用自然语言处理技术实现实体识别、意图识别、情感分析等对话系统中的相关工作
2.负责算法技术攻关，结合业务特征向团队提出合理化算法解决方案与建议，并且对业务做建模设计；
3.从事整数规划、机器学习、数据分析等算法的研究和工程化实现；
4.对已有算法进行调优改进，提高算法的精度和性能；
5. 将深度学习、强化学习等最前沿的AI技术应用于人机交互的各个方面，包括：问答系统，上下文理解，知识图谱，情绪识别与应对
对您的期望：
1.1年以上相关工作经验；本科以上学历，具备基本的数学功底和算法功底，在基础数学、概率、线代有基本的能力
2.熟练使用1种常见的机器学习、AI的框架(spark，caffe，paddlepaddle，mxnet，torch，fasttext等皆可)，并且在1个项目上，有成功应用的经验；至少掌握一种编程语言，如JAVA、python；
3.如果有语音识别、自然语言处理方面的经验、项目案例则更佳；
4.基本的开发能力，掌握相关开发语言(Java/Python等)、框架、数据库、Linux等相关知识，能够独立完成算法的工程化应用实现；
5.扎实的独立分析问题、解决问题的能力，具备良好的需求理解能力、沟通协调能力和团队合作精神；
6.具有高度的责任感和耐心细致的工作态度；能够承受较大工作压力。

",机器学习/算法工程师,15k-25k,150-500人,天使轮,不限
10,,"七险一金,免费健身,午餐自助,团队大牛",北京,北京闪银奇异科技有限公司,本科,"移动互联网,金融",[],"['13~15薪', '晋升空间大', '定期体检', '能力定薪']","
职位描述：

1、利用海量数据进行数据分析与建立模型工作 ；
2、对大数据进行feature selection, combination等feature engineering工作 ；
3、搭建大规模机器学习算法平台 ；
4、跟踪互联网领域最新的自然语言处理，及文本挖掘算法的进展和发展趋势 ；
5、建立和完善分析体系，跟踪模型的实施，定期优化算法和分析策略，提供建设性建议。

任职要求：
1、要求1年以上的工作经验，有大数据分析和处理经验；
2、统计学、应用数学、计算机等相关专业，本科及以上学历，985院校毕业生优先考虑；
3、对常用的机器学习算法、特征选择方法、数据建模过程有深入理解 ；
4、熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络等）及其原理，并具备相关项目经验；
5、熟练掌握R、Python等语言，并熟练使用SQL语句；
6、熟悉Hadoop,Storm，Spark等大数据技术以及适应场景, 有大规模数据处理和日志处理经验的优先；
7、较强的数据敏感度，逻辑分析能力和文档写作能力；
8、勤奋踏实、工作积极主动、有责任心，能够在压力下工作。

",机器学习工程师,35k-60k,500-2000人,D轮及以上,1年以下
11,,"期权,团队扁平,快速发展",成都,成都超有爱科技有限公司,本科,"移动互联网,教育","['教育', 'Java', '算法', '数据挖掘']","['股票期权', '年底双薪', '管饭！', '超爱学习']","
职位描述：

岗位职责：

1、对用户学习行为进行分析、特征抽取和建模，优化学习策略；
2、结合机器学习、数据挖掘等技术，设计和构建科学的英语测评体系；
3、探索机器学习服务于在线教育行业的前沿技术。

岗位要求：

1、本科及以上学历，扎实的计算机基础，精通算法、数据结构；
2、熟悉C、C++等某种或多种语言，熟悉常用的机器学习算法模型；
3、沟通能力强，乐于进行团队合作，执行力强，有责任心。

薪资福利：

20k~40k（13个月）
MBP + Dell U2713HM 罗技（Logitech）K120键盘
1、真实可靠的期权，一不小心就变富富富了有没有；
2、免费三餐（餐标60/天），号称软件园餐标最高的地儿；
3、六险一金，公司额外购买两人份商业保险；
4、入职kindle paperwhite + 500元亚马逊读书卡；
5、每年爱康国宾超豪华体检包一份（还可以带上你的TA）；
6、全年健身卡，好好锻炼你的右臂吧；
7、周三、周四晚包场的内部羽毛球和篮球；
8、超多节假日小礼品，什么元祖的粽子七夕的巧克力啦；
9、定期的团队建设（我们去过太子岭滑雪，去过青城山住别墅，去过海螺沟看雪山）；
10、上班时间自由不打卡，管理扁平，觉得CEO桌子不错可以直接过去搬过来用。

",机器学习工程师,20k-40k,150-500人,D轮及以上,1-3年
12,['上地'],"前沿公司,大平台",北京,深思考人工智能机器人科技（北京）有限公司,硕士,"移动互联网,企业服务","['硬件制造', '数据挖掘']","['股票期权', '弹性工作', '领导好', '管理规范']","
职位描述：

岗位职责：
1、结合数据挖掘传统算法，机器学习浅层算法，深度学习深层算法在人工智能领域的产品中进行分类和预测；
2、以上算法在图像识别、自然语言处理、舆情分析、语音识别等人工智能方面的应用；
3、以上算法在高性能云计算服务器上的并行化和优化工作。
任职要求：
1、硕士及以上学历，计算机相关专业毕业；
2、对机器学习的一般模型如分类、聚类、关联分析、预测等模型熟悉（LR，CART，SVM，NN，Bayesian，PCA，LDA等），理解一些常用的特征选择和矩阵分解的算法；
3、熟悉深度神经网络和常用的模型,如RBM、CNN、DBN、Sparsecoding、RNN等，对常用的开源实现,如Caffe、Theano或ConvNet等有实践经验者优先考虑；
4、熟悉深度神经网络在图像识别、自然语言处理方面的应用，有文本处理方面的经验者优先考虑；
5、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力，熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑；
6、良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java、Python、Matlab）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑；
7、有创造性的思维，敢于超越技术极限，致力于研发一流的技术和产品；
8、具有良好的沟通能力，和良好的团队合作精神。

",机器学习与算法工程师/研究员,15k-30k,50-150人,A轮,不限
13,"['朝外', 'CBD']","五险一金,绩效奖金,节日福利,医疗保险",北京,阳光保险集团股份有限公司,本科,金融,"['大数据', '金融', 'Java', '算法']","['绩效奖金', '五险一金', '通讯津贴', '交通补助']","
职位描述：

岗位职责
1. 利用机器学习方法解决金融领域的实际业务问题；
2. 研究非结构化数据在信贷风控领域中的应用；
3. 探索深度学习、增强学习、迁移学习等技术在金融业务的应用；
4. 跟踪人工智能前沿技术，在实际业务中尝试应用；
岗位任职条件：
1. 计算机/数学/统计/金融或相关领域学位，统招本科及以上学历；
2. 扎实的算法、编程、数理基础，熟练使用Java、Python中的至少一种编程语言；
3. 熟悉常用的机器学习、深度学习算法，有实践经验者优先；
4. 熟悉中国市场信贷、股票、债券、基金等产品和规则，有量化相关从业经历者优先；
5. 具备大数据处理能力，有分布式环境下非结构化数据处理经验者优先；
6. 善于学习，思维活跃，乐于挑战，有良好的沟通表达能力和团队精神；
7.拥有至少两年机器学习工作经验，金融建模方向优先。

",机器学习工程师,20k-40k,2000人以上,不需要融资,1-3年
14,,"国际化团队, 高层写字楼, 完善的福利",西安,西安星垂智能科技有限公司,本科,"移动互联网,人工智能",[],"['带薪年假', '弹性工作', '健身房福利', '扁平管理']","
职位描述：

星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于影藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。
公司提供完善的福利制度和行业内 Top 5% 的薪资。我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。
薪资福利1. 初级工程师 18k, 中级工程师 20k, 高级工程师 25k 起，可以沟通，保证市场上前 5% 的薪水2. 五险一金以及其他法律规定的员工基础福利3. 每年至少一次的国外旅行或者到其他国家办公室访问机会4. 产假（无论性别）5. 健身房会员6. 其他人性化的福利政策
岗位职责1、利用机器学习或深度学习技术进行前沿人工智能技术研发2、负责图像识别、语义理解、语音识别相关的算法研究3、负责人工智能算法项目实施及优化4、对业界新应用和技术进展进行跟踪研究5、负责或参与AI团队的建设和管理
工作要求1、本科及以上学历，计算机、数学、统计等相关专业优先2、精通人工智能领域相关理论和算法，并具备丰富的项目实践经验3、熟悉大规模数据分析技术，掌握机器学习的相关技术?4、熟悉最新的深度学习和机器学习算法，精通自然语言处理者优先5、具有快速学习能力，能够高效使用各种新的技术和框架6、工作主动性强，勇于挑战和创新7、有带团队经验和能力，沟通表达能力和分析解决问题能力强8、在CVPR、 ECCV、 NIPS等计算机视觉顶级会议上发表过论文者优先考虑

",机器学习工程师,18k-25k,15-50人,不需要融资,3-5年
15,['中关村'],发展空间大，集团资金支持,北京,北京灏博大数据科技有限公司,硕士,"数据服务,人工智能","['大数据', '企业服务', '人工智能', '数据挖掘']","['绩效奖金', '交通补助', '定期体检', '带薪年假']","
职位描述：

岗位职责：
1.? 参与客户的数据挖掘建模分析项目，能独立完成从数据提取、特征工程、算法实现的全套流程；
2.? 形成算法积累，参与数据模型类产品（风控、精准营销系统）的研发。
岗位要求：
1.? 统招全日制硕士及以上学历，数学、统计、计算机等专业；
2.? 扎实的理论和算法基础，深刻理解常用的机器学习模型（LR／SVM／RF／GBDT等），能够明确客户目标和提出相应的解决方案；
3.? 至少熟练掌握一门编程语言和快速编码能力（Python、Scala）；
4.? 做事严谨踏实，学习能力强，有一定的独立思考和沟通能力。
加分项：
1.? 参加过Kaggle、KDD Cup等竞赛且排名靠前，或者国内外期刊会议发表论文；
2.? 具有分布式平台搭建和应用的经验（Hadoop、Spark等）。

",机器学习工程师,15k-30k,15-50人,不需要融资,1-3年
16,['张江'],"发展空间,薪资给力,期权",上海,上海腾聘企业管理咨询有限公司,硕士,"移动互联网,数据服务",['移动互联网'],"['年底双薪', '绩效奖金', '年终分红', '交通补助']","
职位描述：

1. 负责用户画像，推荐算法和机器学习平台的搭建;2. 改进产品的资讯内容推荐系统，优化用户的阅读体验;岗位要求1、2年以上互联网工作经验，对广告、推荐系统等任何一个领域有实践经验；2、对机器学习系统有一定了解；熟悉最优化的基础理论，能够将业务问题转化成相关的优化问题并求解，深刻理解并独立实现过相关算法（回归、决策树、分类问题、深度神经网络、图模型，概率统计，最优化方法等）3、熟悉常用数据结构，具备扎实的算法基本功，熟悉C++、Python、go等编程语言；编程能力强，代码爱好者加分。4、良好的业务理解能力和逻辑思维能力，能够从海量数据中发现关键特征，出色的问题分析及解决能力base上海广兰路或者北京苏州街

",推荐算法/广告算法/机器学习,35k-70k,50-150人,B轮,3-5年
17,"['大冲', '科技园', '科技园', '大冲']","大数据风控,技术创新,发展空间大",深圳,深圳白骑士大数据有限公司,本科,"企业服务,金融","['大数据', '金融', '算法']","['专项奖金', '大数据', '反欺诈', '带薪年假']","
职位描述：

岗位职责：
1.结合数据挖掘，机器学习，深度学习算法，在金融进行分类和预测；
2.以上算法在反欺诈，信用分析，舆情分析等方面的应用；
3.以上算法在云计算服务器上的并行化和优化工作。

任职要求：
1.本科及以上学历，计算机相关专业，两年以上相关工作经验；
2.熟悉机器学习的一般模型如分类（LR，NBM，DT，SVM等）、聚类（DBSCAN，K-MEANS），理解一些常用的数据预处理（Normalize, Regularize），特征选择（PCA, LDA）和矩阵分解的算法；
3.熟悉深度神经网络和常用的模型,如RBM、DBN、CNN、RNN、LSTM等，对常用的开源实现,如Tensorflow、Theano等有实践经验者优先考虑；
4.熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑，熟悉python有限考虑；
5.有数学建模比赛获奖记录者优先，有数据挖掘比赛记录（如KAGGLE、天池大数据竞赛）优先；
6.良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java/scala、Python）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑；
7.有创造性的思维，敢于超越技术极限，致力于研发一流的技术和产品；
8.具有良好的沟通能力和良好的团队合作精神。

",机器学习工程师,15k-25k,50-150人,A轮,1-3年
18,,人工智能、人脸识别,深圳,深圳市华付信息技术有限公司,硕士,"移动互联网,硬件",[],"['年底双薪', '绩效奖金', '午餐补助', '定期体检']","
职位描述：

工作内容：1、负责计算机视觉&机器学习（包括深度学习算法的开发与性能提升），负责下述研究课题中的一项或多项，包括但不限于：人脸检测、人脸关键点检测、人脸识别、人脸属性、活体检测、OCR等；2、推动计算机视觉&机器学习算法在众多实际应用领域的性能优化和落地；3、 提出和实现最前沿的算法，保持算法在工业界和学术界的领先。任职要求：1、硕士及以上学历，计算机、数学等相关专业；2、熟练掌握计算机视觉、深度学习的基本方法；3、较强的算法实现能力，熟练掌握 C/C++ 编程，熟悉 Shell/Python/Matlab 编程之一;4、具有丰富的深度学习框架（如Caffe，TensorFlow，MXNet，Torch）应用经验；5、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；6、良好的沟通能力和团队合作能力。

",计算机视觉/机器学习工程师,20k-40k,150-500人,不需要融资,1-3年
